"","Year","Type.of.Land.Use","Region","value"
"4012","2007","Grass silage","South-West",196.2
"4013","1991","Total crops, fruit and horticulture","South-West",70.9
"4014","1992","Total crops, fruit and horticulture","South-West",70
"4015","1993","Total crops, fruit and horticulture","South-West",73
"4016","1994","Total crops, fruit and horticulture","South-West",71.6
"4017","1995","Total crops, fruit and horticulture","South-West",69.7
"4018","1996","Total crops, fruit and horticulture","South-West",70.7
"4019","1997","Total crops, fruit and horticulture","South-West",74.5
"4020","1998","Total crops, fruit and horticulture","South-West",72.5
"4021","1999","Total crops, fruit and horticulture","South-West",70.7
"4022","2000","Total crops, fruit and horticulture","South-West",71.8
"4023","2001","Total crops, fruit and horticulture","South-West",71.9
"4024","2002","Total crops, fruit and horticulture","South-West",74.4
"4025","2003","Total crops, fruit and horticulture","South-West",76.5
"4026","2004","Total crops, fruit and horticulture","South-West",76.1
"4027","2005","Total crops, fruit and horticulture","South-West",69.5
"4028","2006","Total crops, fruit and horticulture","South-West",65.4
"4029","2007","Total crops, fruit and horticulture","South-West",64.1
"4030","1991","Beans and peas","South-West",1.3
"4031","1992","Beans and peas","South-West",1.3
"4032","1993","Beans and peas","South-West",1.2
"4033","1994","Beans and peas","South-West",1
"4034","1995","Beans and peas","South-West",1.4
"4035","1996","Beans and peas","South-West",1.5
"4036","1997","Beans and peas","South-West",1.3
"4037","1998","Beans and peas","South-West",1.3
"4038","1999","Beans and peas","South-West",0.2
"4039","2000","Beans and peas","South-West",0
"4040","2001","Beans and peas","South-West",0
"4041","2002","Beans and peas","South-West",0
"4042","2003","Beans and peas","South-West",0.1
"4043","2004","Beans and peas","South-West",0.1
"4044","2005","Beans and peas","South-West",0.1
"4045","2006","Beans and peas","South-West",0.6
"4046","2007","Beans and peas","South-West",0.6
"4047","1991","Oilseed rape","South-West",0.4
"4048","1992","Oilseed rape","South-West",0.4
"4049","1993","Oilseed rape","South-West",0.3
"4050","1994","Oilseed rape","South-West",0.2
"4051","1995","Oilseed rape","South-West",0.1
"4052","1996","Oilseed rape","South-West",0.1
"4053","1997","Oilseed rape","South-West",0.1
"4054","1998","Oilseed rape","South-West",0.1
"4055","1999","Oilseed rape","South-West",0
"4056","2000","Oilseed rape","South-West",0.3
"4057","2001","Oilseed rape","South-West",0.3
"4058","2002","Oilseed rape","South-West",0.3
"4059","2003","Oilseed rape","South-West",0.3
"4060","2004","Oilseed rape","South-West",0.3
"4061","2005","Oilseed rape","South-West",0.4
"4062","2006","Oilseed rape","South-West",0.6
"4063","2007","Oilseed rape","South-West",1.3
"4064","1991","Arable silage","South-West",NA
"4065","1992","Arable silage","South-West",NA
"4066","1993","Arable silage","South-West",NA
"4067","1994","Arable silage","South-West",NA
"4068","1995","Arable silage","South-West",NA
"4069","1996","Arable silage","South-West",NA
"4070","1997","Arable silage","South-West",NA
"4071","1998","Arable silage","South-West",NA
"4072","1999","Arable silage","South-West",NA
"4073","2000","Arable silage","South-West",5.6
"4074","2001","Arable silage","South-West",5.5
"4075","2002","Arable silage","South-West",5.2
"4076","2003","Arable silage","South-West",6
"4077","2004","Arable silage","South-West",4.6
"4078","2005","Arable silage","South-West",3.2
"4079","2006","Arable silage","South-West",2.5
"4080","2007","Arable silage","South-West",2.5
"4081","1991","Maize silage","South-West",NA
"4082","1992","Maize silage","South-West",NA
"4083","1993","Maize silage","South-West",NA
"4084","1994","Maize silage","South-West",NA
"4085","1995","Maize silage","South-West",NA
"4086","1996","Maize silage","South-West",NA
"4087","1997","Maize silage","South-West",NA
"4088","1998","Maize silage","South-West",NA
"4089","1999","Maize silage","South-West",NA
"4090","2000","Maize silage","South-West",3.5
"4091","2001","Maize silage","South-West",4.9
"4092","2002","Maize silage","South-West",5
"4093","2003","Maize silage","South-West",3.8
"4094","2004","Maize silage","South-West",3.5
"4095","2005","Maize silage","South-West",3.6
"4096","2006","Maize silage","South-West",6.3
"4097","2007","Maize silage","South-West",6.3
"4098","1991","Fodder rape and kale","South-West",NA
"4099","1992","Fodder rape and kale","South-West",NA
"4100","1993","Fodder rape and kale","South-West",NA
"4101","1994","Fodder rape and kale","South-West",NA
"4102","1995","Fodder rape and kale","South-West",NA
"4103","1996","Fodder rape and kale","South-West",NA
"4104","1997","Fodder rape and kale","South-West",NA
"4105","1998","Fodder rape and kale","South-West",NA
"4106","1999","Fodder rape and kale","South-West",NA
"4107","2000","Fodder rape and kale","South-West",0.3
"4108","2001","Fodder rape and kale","South-West",0.2
"4109","2002","Fodder rape and kale","South-West",0.2
"4110","2003","Fodder rape and kale","South-West",0.2
"4111","2004","Fodder rape and kale","South-West",0.2
"4112","2005","Fodder rape and kale","South-West",0.3
"4113","2006","Fodder rape and kale","South-West",0.5
"4114","2007","Fodder rape and kale","South-West",0.5
"4115","1991","Potatoes","South-West",2.9
"4116","1992","Potatoes","South-West",3.3
"4117","1993","Potatoes","South-West",2.9
"4118","1994","Potatoes","South-West",3.1
"4119","1995","Potatoes","South-West",3
"4120","1996","Potatoes","South-West",2.8
"4121","1997","Potatoes","South-West",2.4
"4122","1998","Potatoes","South-West",2.5
"4123","1999","Potatoes","South-West",1.9
"4124","2000","Potatoes","South-West",1.3
"4125","2001","Potatoes","South-West",1.4
"4126","2002","Potatoes","South-West",1.4
"4127","2003","Potatoes","South-West",1.3
"4128","2004","Potatoes","South-West",1.2
"4129","2005","Potatoes","South-West",1
"4130","2006","Potatoes","South-West",1
"4131","2007","Potatoes","South-West",1.1
"4132","1991","Turnips","South-West",0.6
"4133","1992","Turnips","South-West",0.7
"4134","1993","Turnips","South-West",0.8
"4135","1994","Turnips","South-West",0.9
"4136","1995","Turnips","South-West",0.8
"4137","1996","Turnips","South-West",0.9
"4138","1997","Turnips","South-West",1.1
"4139","1998","Turnips","South-West",1.2
"4140","1999","Turnips","South-West",1
"4141","2000","Turnips","South-West",0.3
"4142","2001","Turnips","South-West",0.2
"4143","2002","Turnips","South-West",0.4
"4144","2003","Turnips","South-West",0.3
"4145","2004","Turnips","South-West",0.3
"4146","2005","Turnips","South-West",0.3
"4147","2006","Turnips","South-West",0.2
"4148","2007","Turnips","South-West",0.2
"4149","1991","Beet","South-West",12.8
"4150","1992","Beet","South-West",12.5
"4151","1993","Beet","South-West",13.1
"4152","1994","Beet","South-West",13.7
"4153","1995","Beet","South-West",13.5
"4154","1996","Beet","South-West",13.2
"4155","1997","Beet","South-West",12.6
"4156","1998","Beet","South-West",12.3
"4157","1999","Beet","South-West",12.8
"4158","2000","Beet","South-West",12.1
"4159","2001","Beet","South-West",11.6
"4160","2002","Beet","South-West",11.5
"4161","2003","Beet","South-West",11.5
"4162","2004","Beet","South-West",11.7
"4163","2005","Beet","South-West",11.3
"4164","2006","Beet","South-West",2.7
"4165","2007","Beet","South-West",2.3
"4166","1991","Sugar beet","South-West",10.5
"4167","1992","Sugar beet","South-West",10
"4168","1993","Sugar beet","South-West",10.4
"4169","1994","Sugar beet","South-West",11.2
"4170","1995","Sugar beet","South-West",11.4
"4171","1996","Sugar beet","South-West",10.4
"4172","1997","Sugar beet","South-West",10.4
"4173","1998","Sugar beet","South-West",10.6
"4174","1999","Sugar beet","South-West",10.9
"4175","2000","Sugar beet","South-West",10.7
"4176","2001","Sugar beet","South-West",10.5
"4177","2002","Sugar beet","South-West",10.4
"4178","2003","Sugar beet","South-West",10.5
"4179","2004","Sugar beet","South-West",10.4
"4180","2005","Sugar beet","South-West",10.3
"4181","2006","Sugar beet","South-West",0.5
"4182","2007","Sugar beet","South-West",NA
"4183","1991","Fodder beet","South-West",2.3
"4184","1992","Fodder beet","South-West",2.5
"4185","1993","Fodder beet","South-West",2.7
"4186","1994","Fodder beet","South-West",2.5
"4187","1995","Fodder beet","South-West",2.1
"4188","1996","Fodder beet","South-West",2.8
"4189","1997","Fodder beet","South-West",2.2
"4190","1998","Fodder beet","South-West",1.7
"4191","1999","Fodder beet","South-West",1.9
"4192","2000","Fodder beet","South-West",1.4
"4193","2001","Fodder beet","South-West",1.1
"4194","2002","Fodder beet","South-West",1.1
"4195","2003","Fodder beet","South-West",1
"4196","2004","Fodder beet","South-West",1.3
"4197","2005","Fodder beet","South-West",1
"4198","2006","Fodder beet","South-West",2.2
"4199","2007","Fodder beet","South-West",NA
"4200","1991","Kale and field cabbage","South-West",0.4
"4201","1992","Kale and field cabbage","South-West",0.6
"4202","1993","Kale and field cabbage","South-West",0.6
"4203","1994","Kale and field cabbage","South-West",0.7
"4204","1995","Kale and field cabbage","South-West",0.5
"4205","1996","Kale and field cabbage","South-West",0.5
"4206","1997","Kale and field cabbage","South-West",0.6
"4207","1998","Kale and field cabbage","South-West",0.3
"4208","1999","Kale and field cabbage","South-West",0.4
"4209","2000","Kale and field cabbage","South-West",NA
"4210","2001","Kale and field cabbage","South-West",NA
"4211","2002","Kale and field cabbage","South-West",NA
"4212","2003","Kale and field cabbage","South-West",NA
"4213","2004","Kale and field cabbage","South-West",NA
"4214","2005","Kale and field cabbage","South-West",NA
"4215","2006","Kale and field cabbage","South-West",NA
"4216","2007","Kale and field cabbage","South-West",NA
"4217","1991","Vegetables for sale","South-West",0.9
"4218","1992","Vegetables for sale","South-West",1
"4219","1993","Vegetables for sale","South-West",1.1
"4220","1994","Vegetables for sale","South-West",1.2
"4221","1995","Vegetables for sale","South-West",1.2
"4222","1996","Vegetables for sale","South-West",1.3
"4223","1997","Vegetables for sale","South-West",1.2
"4224","1998","Vegetables for sale","South-West",1
"4225","1999","Vegetables for sale","South-West",0.7
"4226","2000","Vegetables for sale","South-West",0.5
"4227","2001","Vegetables for sale","South-West",0.5
"4228","2002","Vegetables for sale","South-West",0.5
"4229","2003","Vegetables for sale","South-West",0.5
"4230","2004","Vegetables for sale","South-West",0.5
"4231","2005","Vegetables for sale","South-West",0.4
"4232","2006","Vegetables for sale","South-West",0.4
"4233","2007","Vegetables for sale","South-West",0.5
"4234","1991","Fruit","South-West",0.1
"4235","1992","Fruit","South-West",0.1
"4236","1993","Fruit","South-West",0.1
"4237","1994","Fruit","South-West",0.1
"4238","1995","Fruit","South-West",0
"4239","1996","Fruit","South-West",0
"4240","1997","Fruit","South-West",0.1
"4241","1998","Fruit","South-West",0.1
"4242","1999","Fruit","South-West",0.1
"4243","2000","Fruit","South-West",0.1
"4244","2001","Fruit","South-West",0.1
"4245","2002","Fruit","South-West",0
"4246","2003","Fruit","South-West",0.1
"4247","2004","Fruit","South-West",0.1
"4248","2005","Fruit","South-West",0.1
"4249","2006","Fruit","South-West",0.1
"4250","2007","Fruit","South-West",0.1
"4251","1991","Nurseries, horticulture etc.","South-West",0.1
"4252","1992","Nurseries, horticulture etc.","South-West",0.2
"4253","1993","Nurseries, horticulture etc.","South-West",0.1
"4254","1994","Nurseries, horticulture etc.","South-West",0.1
"4255","1995","Nurseries, horticulture etc.","South-West",0.1
"4256","1996","Nurseries, horticulture etc.","South-West",0.2
"4257","1997","Nurseries, horticulture etc.","South-West",0.1
"4258","1998","Nurseries, horticulture etc.","South-West",0.2
"4259","1999","Nurseries, horticulture etc.","South-West",0.2
"4260","2000","Nurseries, horticulture etc.","South-West",0.2
"4261","2001","Nurseries, horticulture etc.","South-West",0.2
"4262","2002","Nurseries, horticulture etc.","South-West",0.2
"4263","2003","Nurseries, horticulture etc.","South-West",0.2
"4264","2004","Nurseries, horticulture etc.","South-West",0.2
"4265","2005","Nurseries, horticulture etc.","South-West",0.2
"4266","2006","Nurseries, horticulture etc.","South-West",0.2
"4267","2007","Nurseries, horticulture etc.","South-West",0.2
"4268","1991","Other crops","South-West",0.5
"4269","1992","Other crops","South-West",0.7
"4270","1993","Other crops","South-West",4.5
"4271","1994","Other crops","South-West",6
"4272","1995","Other crops","South-West",5.7
"4273","1996","Other crops","South-West",3.4
"4274","1997","Other crops","South-West",3.9
"4275","1998","Other crops","South-West",3.9
"4276","1999","Other crops","South-West",5.7
"4277","2000","Other crops","South-West",3.1
"4278","2001","Other crops","South-West",3.3
"4279","2002","Other crops","South-West",3.3
"4280","2003","Other crops","South-West",3.3
"4281","2004","Other crops","South-West",2.3
"4282","2005","Other crops","South-West",3.1
"4283","2006","Other crops","South-West",4.2
"4284","2007","Other crops","South-West",3.8
"4285","1991","Total cereals","South-West",50.8
"4286","1992","Total cereals","South-West",49.4
"4287","1993","Total cereals","South-West",48.2
"4288","1994","Total cereals","South-West",44.6
"4289","1995","Total cereals","South-West",43.4
"4290","1996","Total cereals","South-West",46.8
"4291","1997","Total cereals","South-West",51.1
"4292","1998","Total cereals","South-West",49.6
"4293","1999","Total cereals","South-West",47.9
"4294","2000","Total cereals","South-West",44.7
"4295","2001","Total cereals","South-West",43.6
"4296","2002","Total cereals","South-West",46.4
"4297","2003","Total cereals","South-West",49.1
"4298","2004","Total cereals","South-West",51.4
"4299","2005","Total cereals","South-West",45.4
"4300","2006","Total cereals","South-West",46
"4301","2007","Total cereals","South-West",44.6
"4302","1991","Total wheat","South-West",12.4
"4303","1992","Total wheat","South-West",12.1
"4304","1993","Total wheat","South-West",10.7
"4305","1994","Total wheat","South-West",9.8
"4306","1995","Total wheat","South-West",7.9
"4307","1996","Total wheat","South-West",9.9
"4308","1997","Total wheat","South-West",12.3
"4309","1998","Total wheat","South-West",9.9
"4310","1999","Total wheat","South-West",10.1
"4311","2000","Total wheat","South-West",8.9
"4312","2001","Total wheat","South-West",10.4
"4313","2002","Total wheat","South-West",13.2
